channel,feature,reference_value,mean_abs_score_delta,max_abs_score_delta,rows_evaluated,interpretation
channel_29,delta_1,0.0,0.007947549481786782,0.15755846859603628,5000,model sensitivity evidence; non-causal
channel_29,rolling_mean_24,0.257728202889363,0.015041910667608738,0.059615488439007214,5000,model sensitivity evidence; non-causal
channel_29,rolling_std_24,0.0012168301999344131,0.012494267086028715,0.13266970356454139,5000,model sensitivity evidence; non-causal
channel_29,rolling_margin_24,-0.0003148205578327179,0.007922121475806385,0.10919630816856796,5000,model sensitivity evidence; non-causal
channel_29,rolling_abs_z_24,0.34869685726665267,0.008394104352645699,0.20166893435220445,5000,model sensitivity evidence; non-causal
channel_30,value,0.1146552711725235,0.021774836877144498,0.07555233344230672,5000,model sensitivity evidence; non-causal
channel_30,delta_1,0.0,0.008393162272410706,0.15603199332157464,5000,model sensitivity evidence; non-causal
channel_30,rolling_mean_24,0.115096523736914,0.01931676954022523,0.056980310400493006,5000,model sensitivity evidence; non-causal
channel_30,rolling_std_24,0.001278324207358068,0.013173055978145564,0.15056709972483756,5000,model sensitivity evidence; non-causal
channel_30,rolling_margin_24,-0.00031454224760333466,0.008389720982956126,0.13814001296682882,5000,model sensitivity evidence; non-causal
channel_30,rolling_abs_z_24,0.3519321794265607,0.006906791129250537,0.1855044755436247,5000,model sensitivity evidence; non-causal
channel_31,value,0.30300915241241455,0.019951502863726107,0.06616867640221524,5000,model sensitivity evidence; non-causal
channel_31,delta_1,0.0,0.007252130560633747,0.13936927401044163,5000,model sensitivity evidence; non-causal
channel_31,rolling_mean_24,0.30204372107982635,0.015890811992957613,0.05831490950715296,5000,model sensitivity evidence; non-causal
channel_31,rolling_std_24,0.0011116847593771093,0.011116173862216822,0.15606069756654828,5000,model sensitivity evidence; non-causal
channel_31,rolling_margin_24,-0.00030123814940452576,0.008016946057727918,0.11974554373398905,5000,model sensitivity evidence; non-causal
channel_31,rolling_abs_z_24,0.3598286761557543,0.009470013287837954,0.17484055927458547,5000,model sensitivity evidence; non-causal
channel_32,value,0.7318319082260132,0.014067886991697162,0.05180951325947142,5000,model sensitivity evidence; non-causal
channel_32,delta_1,0.0,0.00833029726731982,0.14960578590815915,5000,model sensitivity evidence; non-causal
channel_32,rolling_mean_24,0.730606235563755,0.012179407303048787,0.05624883357857402,5000,model sensitivity evidence; non-causal
channel_32,rolling_std_24,0.0015015104352581465,0.01150873911421808,0.14843415268265048,5000,model sensitivity evidence; non-causal
channel_32,rolling_margin_24,-0.00038306911786401,0.00847944557067327,0.11273911822178806,5000,model sensitivity evidence; non-causal
channel_32,rolling_abs_z_24,0.3461934442799667,0.008459319422238244,0.18372440200699636,5000,model sensitivity evidence; non-causal
